Grade,Subject,Course,Key,Text,Keywords
2,English Language Arts,English,11,"Reading/Comprehension of Literary Text/Sensory Language. Students understand, make inferences and draw conclusions about how an author's sensory language creates imagery in literary text and provide evidence from text to support their understanding. Students are expected to recognize that some words and phrases have literal and non-literal meanings (e.g., take steps).","go the extra mile, aim high, go fly a kite, idioms, "
2,English Language Arts,English,12,"Reading/Comprehension of Text/Independent Reading. Students read independently for sustained periods of time and produce evidence of their reading. Students are expected to read independently for a sustained period of time and paraphrase what the reading was about, maintaining meaning.",
2,English Language Arts,English,13,"Reading/Comprehension of Informational Text/Culture and History. Students analyze, make inferences and draw conclusions about the author's purpose in cultural, historical, and contemporary contexts and provide evidence from the text to support their understanding. Students are expected to identify the topic and explain the author's purpose in writing the text.",
2,English Language Arts,English,14,"Reading/Comprehension of Informational Text/Expository Text. Students analyze, make inferences and draw conclusions about and understand expository text and provide evidence from text to support their understanding.",
2,English Language Arts,English,14.a,Identify the main idea in a text and distinguish it from the topic;,
2,English Language Arts,English,14.b,Locate the facts that are clearly stated in a text,
2,English Language Arts,English,14.c,Describe the order of events or ideas in a text,
2,English Language Arts,English,14.d,"Use text features (e.g., table of contents, index, headings) to locate specific information in text","charts, graphs, pictures, "
2,English Language Arts,English,15,Reading/Comprehension of Informational Text/Procedural Text. Students understand how to glean and use information in procedural texts and documents.,
2,English Language Arts,English,15.a,Follow written multi-step directions;,
2,English Language Arts,English,15.b,"Use common graphic features to assist in the interpretation of text (e.g., captions, illustrations).",
2,English Language Arts,English,16,"Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students continue to apply earlier standards with greater depth in increasingly more complex texts.",
2,English Language Arts,English,16.a,"Recognize different purposes of media (e.g., informational, entertainment)",
2,English Language Arts,English,16.b,"Describe techniques used to create media messages (e.g., sound, graphics)",
2,English Language Arts,English,16.c,"Identify various written conventions for using digital media (e.g., e-mail, website, video game)",
2,English Language Arts,English,17,"Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text.",
2,English Language Arts,English,17.a,"Plan a first draft by generating ideas for writing (e.g., drawing, sharing ideas, listing key ideas);","graphic organizers, "
2,English Language Arts,English,17.b,Develop drafts by sequencing ideas through writing sentences,
2,English Language Arts,English,17.c,"Revise drafts by adding or deleting words, phrases, or sentences","teacher model, peer edit, self edit, "
2,English Language Arts,English,17.d,"Edit drafts for grammar, punctuation, and spelling using a teacher-developed rubric","standard usage, vaired sentence structure, appropriate word choice, "
2,English Language Arts,English,17.e,Publish and share writing with others.,"Author's chair, classroom library, "
2,English Language Arts,English,18,"Writing/Literary Texts. Students write literary texts to express their ideas and feelings about real or imagined people, events, and ideas.","write to entertain, "
2,English Language Arts,English,18.a,"Write brief stories that include a beginning, middle, and end;",
2,English Language Arts,English,18.b,Write short poems that convey sensory details,
2,English Language Arts,English,19,Writing/Expository and Procedural Texts. Students write expository and procedural or work-related texts to communicate ideas and information to specific audiences for specific purposes.,
2,English Language Arts,English,19.a,Write brief compositions about topics of interest to the student,
2,English Language Arts,English,19.b,"Write short letters that put ideas in a chronological or logical sequence and use appropriate conventions (e.g., date, salutation, closing)",
2,English Language Arts,English,19.c,Write brief comments on literary or informational texts.,
2,English Language Arts,English,20,"Writing/Persuasive Texts. Students write persuasive texts to influence the attitudes or actions of a specific audience on specific issues. Students are expected to write persuasive statements about issues that are important to the student for the appropriate audience in the school, home, or local community.",
2,English Language Arts,English,21,Oral and Written Conventions/Conventions. Students understand the function of and use the conventions of academic language when speaking and writing. Students continue to apply earlier standards with greater complexity.,
2,English Language Arts,English,21.a,"Understand and use the following parts of speech in the context of reading, writing, and speakin","subject verb agreement, "
2,English Language Arts,English,21.a.i,"Verbs (past, present, and future)",
2,English Language Arts,English,21.a.ii,"Nouns (singular/plural, common/proper);",
2,English Language Arts,English,21.a.iii,"Adjectives (e.g., descriptive: old, wonderful; articles: a, an, the)","comparative, superlative, "
2,English Language Arts,English,21.a.iv,"Adverbs (e.g., time: before, next; manner: carefully, beautifully)","comparative, superlative, "
2,English Language Arts,English,21.a.v,Prepositions and prepositional phrases,
2,English Language Arts,English,21.a.vi,"Pronouns (e.g., he, him)",
2,English Language Arts,English,21.a.vii,Time-order transition words,
2,English Language Arts,English,21.b,Use complete sentences with correct subject-verb agreement,
2,English Language Arts,English,21.c,Distinguish among declarative and interrogative sentences.,
2,English Language Arts,English,22,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation. Students write legibly and use appropriate capitalization and punctuation conventions in their compositions.",
2,English Language Arts,English,22.a,Write legibly leaving appropriate margins for readability,"cursive, handwriting, "
2,English Language Arts,English,22.b,Use capitalization,
2,English Language Arts,English,22.b.i,Proper nouns,
2,English Language Arts,English,22.b.ii,Months and days of the week;,
2,English Language Arts,English,22.b.iii,The salutation and closing of a letter,
2,English Language Arts,English,22.c,Recognize and use punctuation marks,
2,English Language Arts,English,22.c.i,Ending punctuation in sentences,
2,English Language Arts,English,22.c.ii,Apostrophes and contractions,
2,English Language Arts,English,22.c.iii,Apostrophes and possessives,
2,English Language Arts,English,23,Oral and Written Conventions/Spelling. Students spell correctly.,
2,English Language Arts,English,23.a,Use phonological knowledge to match sounds to letters to construct unknown words,
2,English Language Arts,English,23.b,Spell words with common orthographic patterns and rules,
2,English Language Arts,English,23.b.i,"Complex consonants (e.g., hard and soft c and g, ck);",
2,English Language Arts,English,23.b.ii,R-controlled vowels,
2,English Language Arts,English,23.b.iii,"Long vowels (e.g., VCe-hope)",
2,English Language Arts,English,23.b.iv,"Vowel digraphs (e.g., oo-book, fool, ee-feet), diphthongs (e.g., ou-out, ow-cow, oi-coil, oy-toy)",
2,English Language Arts,English,23.c,Spell high-frequency words from a commonly used list,
2,English Language Arts,English,23.d,"Spell base words with inflectional endings (e.g., -ing and -ed)",
2,English Language Arts,English,23.e,"Spell simple contractions (e.g., isn't, aren't, can't)",
2,English Language Arts,English,23.f,Use resources to find correct spellings.,"Dictionary, Thesaurus, Spell Check, "
2,English Language Arts,English,24,Research/Research Plan. Students ask open-ended research questions and develop a plan for answering them.,
2,English Language Arts,English,24.a,Generate a list of topics of class-wide interest and formulate open-ended questions about one or two of the topics,
2,English Language Arts,English,24.b,Decide what sources of information might be relevant to answer these questions,
2,English Language Arts,English,25,"Research/Gathering Sources. Students determine, locate, and explore the full range of relevant sources addressing a research question and systematically record the information they gather.",
2,English Language Arts,English,25.a,Gather evidence from available sources (natural and personal) as well as from interviews with local experts,
2,English Language Arts,English,25.b,"Use text features (e.g., table of contents, alphabetized index, headings) in age-appropriate reference works (e.g., picture dictionaries) to locate information;",
2,English Language Arts,English,25.c,"Record basic information in simple visual formats (e.g., notes, charts, picture graphs, diagrams)",
2,English Language Arts,English,26,Research/Synthesizing Information. Students clarify research questions and evaluate and synthesize collected information. Students are expected to revise the topic as a result of answers to initial research questions.,
2,English Language Arts,English,27,Research/Organizing and Presenting Ideas. Students organize and present their ideas and information according to the purpose of the research and their audience. Students (with adult assistance) are expected to create a visual display or dramatization to convey the results of the research.,
2,English Language Arts,English,28,Listening and Speaking/Listening. Students use comprehension skills to listen attentively to others in formal and informal settings. Students continue to apply earlier standards with greater complexity.,
2,English Language Arts,English,28.a,Listen attentively to speakers and ask relevant questions to clarify information,
2,English Language Arts,English,28.b,"Follow, restate, and give oral instructions that involve a short related sequence of actions.",
2,English Language Arts,English,29,"Listening and Speaking/Speaking. Students speak clearly and to the point, using the conventions of language. Students continue to apply earlier standards with greater complexity. Students are expected to share information and ideas that focus on the topic under discussion, speaking clearly at an appropriate pace, using the conventions of language.",
2,English Language Arts,English,30,"Listening and Speaking/Teamwork. Students work productively with others in teams. Students continue to apply earlier standards with greater complexity. Students are expected to follow agreed-upon rules for discussion, including listening to others, speaking when recognized, and making appropriate contributions.",
3,English Language Arts,English,1,"Reading/Beginning Reading Skills/Phonics. Students use the relationships between letters and sounds, spelling patterns, and morphological analysis to decode written English.",
3,English Language Arts,English,1.a,Decode multisyllabic words in context and independent of context by applying common spelling patterns including,"letter sequences, phonograms, rimes, "
3,English Language Arts,English,1.a.i,"Dropping the final e and add endings such as -ing, -ed, or -able (e.g., use, using, used, usable)","suffix rules, "
3,English Language Arts,English,1.a.ii,"Doubling final consonants when adding an ending (e.g., hop to hopping);","suffix rules, "
3,English Language Arts,English,1.a.iii,"Changing the final y to i (e.g., baby to babies)","suffix rules, "
3,English Language Arts,English,1.a.iv,"Using knowledge of common prefixes and suffixes (e.g., dis-, -ly)","suffix rules, prefix, root, base, "
3,English Language Arts,English,1.a.v,"Using knowledge of derivational affixes (e.g., -de, -ful, -able)","word element, prefix, suffix, "
3,English Language Arts,English,1.b,Use common syllabication patterns to decode words including:,"accemted, unaccented, syllable, "
3,English Language Arts,English,1.b.i,"Closed syllable (CVC) (e.g., mag-net, splen-did)","vowel, consonant, "
3,English Language Arts,English,1.b.ii,"Open syllable (CV) (e.g., ve-to)","vowel, consonant, "
3,English Language Arts,English,1.b.iii,"Final stable syllable (e.g., puz-zle, con-trac-tion)","vowel, consonant, "
3,English Language Arts,English,1.b.iv,"R-controlled vowels (e.g., fer-ment, car-pool)","vowel, consonant, "
3,English Language Arts,English,1.b.v,"Vowel digraphs and diphthongs (e.g., ei-ther);","vowel, consonant, "
3,English Language Arts,English,1.c,"Decode words applying knowledge of common spelling patterns (e.g., -eigh, -ought)","letter sequences, phonograms, rimes, "
3,English Language Arts,English,1.d,"Identify and read contractions (e.g., I'd, won't)","apostrophe, "
3,English Language Arts,English,1.e,Monitor accuracy in decoding.,
3,English Language Arts,English,2,Reading/Beginning Reading/Strategies. Students comprehend a variety of texts drawing on useful strategies as needed.,
3,English Language Arts,English,2.a,"Use ideas (e.g., illustrations, titles, topic sentences, key words, and foreshadowing clues) to make and confirm predictions","hints, clues, "
3,English Language Arts,English,2.b,"Ask relevant questions, seek clarification, and locate facts and details about stories and other texts and support answers with evidence from text","literal, interpretive, evaluative, synthesis question, text evidence, "
3,English Language Arts,English,2.c,"Establish purpose for reading selected texts and monitor comprehension, making corrections and adjustments when that understanding breaks down (e.g., identifying clues, using background knowledge, generating questions, re-reading a portion aloud).","informed, understand, interpret, solve problems, entertain, enjoyment, "
3,English Language Arts,English,3,"Reading/Fluency. Students read grade-level text with fluency and comprehension. Students are expected to read aloud grade-level appropriate text with fluency (rate, accuracy, expression, appropriate phrasing) and comprehension.","emphasizing words, sentences, pausing, pauses, puncuation, bold print, italics, "
3,English Language Arts,English,4,Reading/Vocabulary Development. Students understand new vocabulary and use it when reading and writing.,"base words, root word, "
3,English Language Arts,English,4.a,"Identify the meaning of common prefixes (e.g., in-, dis-) and suffixes (e.g., -full, -less), and know how they change the meaning of roots",
3,English Language Arts,English,4.b,Use context to determine the relevant meaning of unfamiliar words or distinguish among multiple meaning words and homographs,"same spelling, different meaning, "
3,English Language Arts,English,4.c,"Identify and use antonyms, synonyms, homographs, and homophones","opposite, similar, sounds the same, "
3,English Language Arts,English,4.d,"Identify and apply playful uses of language (e.g., tongue twisters, palindromes, riddles",
3,English Language Arts,English,4.e,"Alphabetize a series of words to the third letter and use a dictionary or a glossary to determine the meanings, syllabication, and pronunciation of unknown words.","guide words, phonetic spelling, syllable, "
3,English Language Arts,English,5,"Reading/Comprehension of Literary Text/Theme and Genre. Students analyze, make inferences and draw conclusions about theme and genre in different cultural, historical, and contemporary contexts and provide evidence from the text to support their understanding.",
3,English Language Arts,English,5.a,"Paraphrase the themes and supporting details of fables, legends, myths, or stories","realistic, historical fiction, restate, hero, "
3,English Language Arts,English,5.b,Compare and contrast the settings in myths and traditional folktales.,"time: past, present, future, season, time of day, place: geography, topography, weather: rain, storm, sun, cold, hot, cultural, historical, psychological background, "
3,English Language Arts,English,6,"Reading/Comprehension of Literary Text/Poetry. Students understand, make inferences and draw conclusions about the structure and elements of poetry and provide evidence from text to support their understanding. Students are expected to describe the characteristics of various forms of poetry and how they create imagery (e.g., narrative poetry, lyrical poetry, humorous poetry, free verse).","poem, "
3,English Language Arts,English,7,"Reading/Comprehension of Literary Text/Drama. Students understand, make inferences and draw conclusions about the structure and elements of drama and provide evidence from text to support their understanding. Students are expected to explain the elements of plot and character as presented through dialogue in scripts that are read, viewed, written, or performed.","conflict, character development, pacing, "
3,English Language Arts,English,8,"Reading/Comprehension of Literary Text/Fiction. Students understand, make inferences and draw conclusions about the structure and elements of fiction and provide evidence from text to support their understanding.",
3,English Language Arts,English,8.a,Sequence and summarize the plot's main events and explain their influence on future events,"essential points, predict outcomes, predict action, "
3,English Language Arts,English,8.b,Describe the interaction of characters including their relationships and the changes they undergo,"intellectual, emotional, physical, beginning to end, before and after, "
3,English Language Arts,English,8.c,Identify whether the narrator or speaker of a story is first or third person.,"point of view, perspective, "
3,English Language Arts,English,9,"Reading/Comprehension of Literary Text/Literary Nonfiction. Students understand, make inferences and draw conclusions about the varied structural patterns and features of literary nonfiction and respond by providing evidence from text to support their understanding. Students are expected to explain the difference in point of view between a biography and autobiography.",
3,English Language Arts,English,10,"Reading/Comprehension of Literary Text/Sensory Language. Students understand, make inferences and draw conclusions about how an author's sensory language creates imagery in literary text and provide evidence from text to support their understanding. Students are expected to identify language that creates a graphic visual experience and appeals to the senses.","characters, details, setting, "
3,English Language Arts,English,11,"Reading/Comprehension of Text/Independent Reading. Students read independently for sustained periods of time and produce evidence of their reading. Students are expected to read independently for a sustained period of time and paraphrase what the reading was about, maintaining meaning and logical order (e.g., generate a reading log or journal; participate in book talks).","silent, "
3,English Language Arts,English,12,"Reading/Comprehension of Informational Text/Culture and History. Students analyze, make inferences and draw conclusions about the author's purpose in cultural, historical, and contemporary contexts and provide evidence from the text to support their understanding. Students are expected to identify the topic and locate the author's stated purposes in writing the text.","inform, explain, instruct, reflect, "
3,English Language Arts,English,13,"Reading/Comprehension of Informational Text/Expository Text. Students analyze, make inferences and draw conclusions about expository text and provide evidence from text to support their understanding.",
3,English Language Arts,English,13.a,Identify the details or facts that support the main idea,"retell important events, story maps, graphs, charts, "
3,English Language Arts,English,13.b,Draw conclusions from the facts presented in text and support those assertions with textual evidence;,"news, advertisment, "
3,English Language Arts,English,13.c,Identify explicit cause and effect relationships among ideas in texts,"story map, graph, chart, "
3,English Language Arts,English,13.d,"Use text features (e.g., bold print, captions, key words, italics) to locate information and make and verify predictions about contents of text.","reading map, charts, "
3,English Language Arts,English,14,"Reading/Comprehension of Informational Text/Persuasive Text. Students analyze, make inferences and draw conclusions about persuasive text and provide evidence from text to support their analysis. Students are expected to identify what the author is trying to persuade the reader to think or do.","author's perspective, point-of-view, "
3,English Language Arts,English,15,Reading/Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents.,
3,English Language Arts,English,15.a,Follow and explain a set of written multi-step directions,"recipe, how to, instruction, maps/intinerary, "
3,English Language Arts,English,15.b,Locate and use specific information in graphic features of text.,"maps, graph, chart, "
3,English Language Arts,English,16,"Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students will continue to apply earlier standards with greater depth in increasingly more complex texts.",
3,English Language Arts,English,16.a,Understand how communication changes when moving from one genre of media to another,"print to visual, movie to book, "
3,English Language Arts,English,16.b,"Explain how various design techniques used in media influence the message (e.g., shape, color, sound);","stop sign red, color mood, "
3,English Language Arts,English,16.c,"Compare various written conventions used for digital media (e.g., language in an informal e-mail vs. language in a web-based news article).",
3,English Language Arts,English,17,"Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text. Students are expected to:",
3,English Language Arts,English,17.a,"Plan a first draft by selecting a genre appropriate for conveying the intended meaning to an audience and generating ideas through a range of strategies (e.g., brainstorming, graphic organizers, logs, journals)","rough draft, prewriting, "
3,English Language Arts,English,17.b,Develop drafts by categorizing ideas and organizing them into paragraphs,"outline, "
3,English Language Arts,English,17.c,"Revise drafts for coherence, organization, use of simple and compound sentences, and audience","revision, "
3,English Language Arts,English,17.d,"Edit drafts for grammar, mechanics, and spelling using a teacher-developed rubric;","proofread, peer edit, "
3,English Language Arts,English,17.e,Publish written work for a specific audience,
3,English Language Arts,English,18,"Writing/Literary Texts. Students write literary texts to express their ideas and feelings about real or imagined people, events, and ideas.",
3,English Language Arts,English,18.a,Write imaginative stories that build the plot to a climax and contain details about the characters and setting;,"humorous funny, poem, short story, "
3,English Language Arts,English,18.b,"Write poems that convey sensory details using the conventions of poetry (e.g., rhyme, meter, patterns of verse).",
3,English Language Arts,English,19,Writing. Students write about their own experiences. Students are expected to write about important personal experiences.,"voice, personal narrative, story, "
3,English Language Arts,English,20,Writing/Expository and Procedural Texts. Students write expository and procedural or work-related texts to communicate ideas and information to specific audiences for specific purposes.,
3,English Language Arts,English,20.a,Create brief compositions that,"narrate, explain, describe, report, "
3,English Language Arts,English,20.a.i,Establish a central idea in a topic sentence,"thesis, "
3,English Language Arts,English,20.a.ii,"Include supporting sentences with simple facts, details, and explanations","evidence, proof, "
3,English Language Arts,English,20.a.iii,Contain a concluding statement,"conclusion, "
3,English Language Arts,English,20.b,"Write letters whose language is tailored to the audience and purpose (e.g., a thank you note to a friend) and that use appropriate conventions (e.g., date, salutation, closing)","express, discover, record, develop, reflect on ideas,, problem solve, "
3,English Language Arts,English,20.c,Write responses to literary or expository texts that demonstrate an understanding of the text.,"explain, describe, report, narrate, "
3,English Language Arts,English,21,Writing/Persuasive Texts. Students write persuasive texts to influence the attitudes or actions of a specific audience on specific issues. Students are expected to write persuasive essays for appropriate audiences that establish a position and use supporting details.,"express, discover, record, develop, reflect on ideas,, problem solve, "
3,English Language Arts,English,22,Oral and Written Conventions/Conventions. Students understand the function of and use the conventions of academic language when speaking and writing. Students continue to apply earlier standards with greater complexity.,
3,English Language Arts,English,22.a,"Use and understand the function of the following parts of speech in the context of reading, writing, and speaking",
3,English Language Arts,English,22.a.i,"Verbs (past, present, and future)","action, "
3,English Language Arts,English,22.a.ii,"Nouns (singular/plural, common/proper)","person, place, thing, "
3,English Language Arts,English,22.a.iii,"Adjectives (e.g., descriptive: wooden, rectangular; limiting: this, that; articles: a, an, the)","description, describe, positive, comparative, superlative, "
3,English Language Arts,English,22.a.iv,"Adverbs (e.g., time: before, next; manner: carefully, beautifully)","describe verb, "
3,English Language Arts,English,22.a.v,Prepositions and prepositional phrases,
3,English Language Arts,English,22.a.vi,"Possessive pronouns (e.g., his, hers, theirs)","I, me, mine, "
3,English Language Arts,English,22.a.vii,"Coordinating conjunctions (e.g., and, or, but);",
3,English Language Arts,English,22.a.viii,Time-order transition words and transitions that indicate a conclusion,
3,English Language Arts,English,22.b,Use the complete subject and the complete predicate in a sentence;,"simple, compound, "
3,English Language Arts,English,22.c,Use complete simple and compound sentences with correct subject-verb agreement,"subject, predicate, "
3,English Language Arts,English,23,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation. Students write legibly and use appropriate capitalization and punctuation conventions in their compositions.",
3,English Language Arts,English,23.a,Write legibly in cursive script with spacing between words in a sentence,"pencil grip, paper position, correct letter formation, size, spacing, "
3,English Language Arts,English,23.b,Use capitalization for,
3,English Language Arts,English,23.b.i,Geographical names and places,
3,English Language Arts,English,23.b.ii,Historical periods,
3,English Language Arts,English,23.b.iii,Official titles of people,
3,English Language Arts,English,23.c,Recognize and use punctuation marks including,
3,English Language Arts,English,23.c.i,Apostrophes in contractions and possessives,"singular, contraction, "
3,English Language Arts,English,23.c.ii,Commas in series and dates,"day, year, letter greeting, compound sentences, separate 2 adjective, "
3,English Language Arts,English,23.d,Use correct mechanics including paragraph indentations,
3,English Language Arts,English,24,Oral and Written Conventions/Spelling. Students spell correctly.,
3,English Language Arts,English,24.a,"Use knowledge of letter sounds, word parts, word segmentation, and syllabication to spell;",
3,English Language Arts,English,24.b,Spell words with more advanced orthographic patterns and rules,
3,English Language Arts,English,24.c,Spell high-frequency and compound words from a commonly used list;,
3,English Language Arts,English,24.d,"Spell words with common syllable constructions (e.g., closed, open, final stable syllable);",
3,English Language Arts,English,24.e,"Spell single syllable homophones (e.g., bear/bare; week/weak; road/rode);",
3,English Language Arts,English,24.f,"Spell complex contractions (e.g., should've, won't); and","possessive, "
3,English Language Arts,English,24.g,Use print and electronic resources to find and check correct spellings.,
3,English Language Arts,English,25,Research/Research Plan. Students ask open-ended research questions and develop a plan for answering them. Students are expected to:,
3,English Language Arts,English,25.a,"Generate research topics from personal interests or by brainstorming with others, narrow to one topic, and formulate open-ended questions about the major research topic; and",
3,English Language Arts,English,25.b,"Generate a research plan for gathering relevant information (e.g., surveys, interviews, encyclopedias) about the major research question.",
3,English Language Arts,English,26,"Research/Gathering Sources. Students determine, locate, and explore the full range of relevant sources addressing a research question and systematically record the information they gather. Students are expected to:",
3,English Language Arts,English,26.a,"Follow the research plan to collect information from multiple sources of information, both oral and written, including:",
3,English Language Arts,English,26.a.i,"Student-initiated surveys, on-site inspections, and interviews;",
3,English Language Arts,English,26.a.ii,"Data from experts, reference texts, and online searches; and",
3,English Language Arts,English,26.a.iii,"Visual sources of information (e.g., maps, timelines, graphs) where appropriate;",
3,English Language Arts,English,26.b,"Use skimming and scanning techniques to identify data by looking at text features (e.g., bold print, captions, key words, italics);",
3,English Language Arts,English,26.c,Take simple notes and sort evidence into provided categories or an organizer;,
3,English Language Arts,English,26.d,"Identify the author, title, publisher, and publication year of sources; and",
3,English Language Arts,English,26.e,Differentiate between paraphrasing and plagiarism and identify the importance of citing valid and reliable sources.,
3,English Language Arts,English,27,"Research/Synthesizing Information. Students clarify research questions and evaluate and synthesize collected information. Students are expected to improve the focus of research as a result of consulting expert sources (e.g., reference librarians and local experts on the topic).",
3,English Language Arts,English,28,"Research/Organizing and Presenting Ideas. Students organize and present their ideas and information according to the purpose of the research and their audience. Students are expected to draw conclusions through a brief written explanation and create a works-cited page from notes, including the author, title, publisher, and publication year for each source used.",
3,English Language Arts,English,29,Listening and Speaking/Listening. Students use comprehension skills to listen attentively to others in formal and informal settings. Students continue to apply earlier standards with greater complexity. Students are expected to:,
3,English Language Arts,English,29.a,"Listen attentively to speakers, ask relevant questions, and make pertinent comments; and","listen above reading level, "
3,English Language Arts,English,29.b,"Follow, restate, and give oral instructions that involve a series of related sequences of action.",
3,English Language Arts,English,30,"Listening and Speaking/Speaking. Students speak clearly and to the point, using the conventions of language. Students continue to apply earlier standards with greater complexity. Students are expected to speak coherently about the topic under discussion, employing eye contact, speaking rate, volume, enunciation, and the conventions of language to communicate ideas effectively.",
3,English Language Arts,English,31,Listening and Speaking/Teamwork. Students work productively with others in teams. Students continue to apply earlier standards with greater complexity. Students are expected to participate in teacher- and student-led discussions by posing and answering questions with appropriate detail and by providing suggestions that build upon the ideas of others.,
4,English Language Arts,English,1,"Reading/Fluency. Students read grade-level text with fluency and comprehension. Students are expected to read aloud grade-level stories with fluency (rate, accuracy, expression, appropriate phrasing) and comprehension.","expression, fluence, "
4,English Language Arts,English,2,Reading/Vocabulary Development. Students understand new vocabulary and use it when reading and writing. Students are expected to:,
4,English Language Arts,English,2.a,"Determine the meaning of grade-level academic English words derived from Latin, Greek, or other linguistic roots and affixes;","root word, context, "
4,English Language Arts,English,2.b,"Use the context of the sentence (e.g., in-sentence example or definition) to determine the meaning of unfamiliar words or multiple meaning words;","context clues, "
4,English Language Arts,English,2.c,"Complete analogies using knowledge of antonyms and synonyms (e.g., boy:girl as male:____ or girl:woman as boy:_____);","opposite, "
4,English Language Arts,English,2.d,Identify the meaning of common idioms; and,
4,English Language Arts,English,2.e,"Use a dictionary or glossary to determine the meanings, syllabication, and pronunciation of unknown words.","part of speech, "
4,English Language Arts,English,3,"Reading/Comprehension of Literary Text/Theme and Genre. Students analyze, make inferences and draw conclusions about theme and genre in different cultural, historical, and contemporary contexts and provide evidence from the text to support their understanding. Students are expected to:",
4,English Language Arts,English,3.a,Summarize and explain the lesson or message of a work of fiction as its theme; and,"culture, history, inference, generalization, conclusion, "
4,English Language Arts,English,3.b,"Compare and contrast the adventures or exploits of characters (e.g., the trickster) in traditional and classical literature.","archetype, characterization, "
4,English Language Arts,English,4,"Reading/Comprehension of Literary Text/Poetry. Students understand, make inferences and draw conclusions about the structure and elements of poetry and provide evidence from text to support their understanding. Students are expected to explain how the structural elements of poetry (e.g., rhyme, meter, stanzas, line breaks) relate to form (e.g., lyrical poetry, free verse).","perspective, point-of-view, poem, "
4,English Language Arts,English,5,"Reading/Comprehension of Literary Text/Drama. Students understand, make inferences and draw conclusions about the structure and elements of drama and provide evidence from text to support their understanding. Students are expected to describe the structural elements particular to dramatic literature.","perspective, point of view, play, script, "
4,English Language Arts,English,6,"Reading/Comprehension of Literary Text/Fiction. Students understand, make inferences and draw conclusions about the structure and elements of fiction and provide evidence from text to support their understanding. Students are expected to:",
4,English Language Arts,English,6.a,Sequence and summarize the plot's main events and explain their influence on future events;,
4,English Language Arts,English,6.b,Describe the interaction of characters including their relationships and the changes they undergo; and,
4,English Language Arts,English,7,"Reading/Comprehension of Literary Text/Literary Nonfiction. Students understand, make inferences and draw conclusions about the varied structural patterns and features of literary nonfiction and provide evidence from text to support their understanding. Students are expected to identify similarities and differences between the events and characters' experiences in a fictional work and the actual events and experiences described in an author's biography or autobiography.",
4,English Language Arts,English,8,"Reading/Comprehension of Literary Text/Sensory Language. Students understand, make inferences and draw conclusions about how an author's sensory language creates imagery in literary text and provide evidence from text to support their understanding. Students are expected to identify the author's use of similes and metaphors to produce imagery.",
4,English Language Arts,English,9,"Reading/Comprehension of Text/Independent Reading. Students read independently for sustained periods of time and produce evidence of their reading. Students are expected to read independently for a sustained period of time and paraphrase what the reading was about, maintaining meaning and logical order (e.g., generate a reading log or journal; participate in book talks).",
4,English Language Arts,English,10,"Reading/Comprehension of Informational Text/Culture and History. Students analyze, make inferences and draw conclusions about the author's purpose in cultural, historical, and contemporary contexts and provide evidence from the text to support their understanding. Students are expected to explain the difference between a stated and an implied purpose for an expository text.",
4,English Language Arts,English,11,"Reading/Comprehension of Informational Text/Expository Text. Students analyze, make inferences and draw conclusions about expository text and provide evidence from text to support their understanding. Students are expected to:",
4,English Language Arts,English,11.a,Summarize the main idea and supporting details in text in ways that maintain meaning;,
4,English Language Arts,English,11.b,Distinguish fact from opinion in a text and explain how to verify what is a fact;,
4,English Language Arts,English,11.c,"Describe explicit and implicit relationships among ideas in texts organized by cause-and-effect, sequence, or comparison; and",
4,English Language Arts,English,11.d,"Use multiple text features (e.g., guide words, topic and concluding sentences) to gain an overview of the contents of text and to locate information.",
4,English Language Arts,English,12,"Reading/Comprehension of Informational Text/Persuasive Text. Students analyze, make inferences and draw conclusions about persuasive text and provide evidence from text to support their analysis. Students are expected to explain how an author uses language to present information to influence what the reader thinks or does.",
4,English Language Arts,English,13,Reading/Comprehension of Informational Text/Procedural Texts. Students understand how to glean and use information in procedural texts and documents. Students are expected to:,
4,English Language Arts,English,13.a,"Determine the sequence of activities needed to carry out a procedure (e.g., following a recipe); and",
4,English Language Arts,English,13.b,"Explain factual information presented graphically (e.g., charts, diagrams, graphs, illustrations).",
4,English Language Arts,English,14,"Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students continue to apply earlier standards with greater depth in increasingly more complex texts. Students are expected to:",
4,English Language Arts,English,14.a,Explain the positive and negative impacts of advertisement techniques used in various genres of media to impact consumer behavior;,
4,English Language Arts,English,14.b,"Explain how various design techniques used in media influence the message (e.g., pacing, close-ups, sound effects); and",
4,English Language Arts,English,14.c,Compare various written conventions used for digital media (e.g. language in an informal e-mail vs. language in a web-based news article).,
4,English Language Arts,English,15,"Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text. Students are expected to:",
